"countryname","country","election","pec","party1","party2","threshold","incompatibility","polarization","average_magnitude","seatshare1","seatshare2","seatlag1","seatlag2","per_vote1","per_vote2","votelag1","votelag2","in_govt2","in_govt1","enep","twoparty","ident","caseID","iso3","edate","year","electionId","pecId","party1Name","party1Fam","party2Name","party2Fam","sameFamily","party1pos","party2pos","govCoalition","distance","enep2","polarization2"
"Australia",1,540529,0,63810,63320,35,67.0999984741211,32,1,0.140000000596046,0.469999998807907,0.140000000596046,0.430000007152557,8.52000045776367,50.0299987792969,9.72000026702881,47.6300010681152,1,1,2.46000003814697,NA,1540529,2,36,1954-05-29,1954,"36.1954-05-29",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.784078776836395,-0.130600899457932,1,0.914679676294327,2.46197313297024,0.0248035565205935
"Australia",1,540529,1,63810,63620,35,99.0999984741211,32,1,0.140000000596046,0.389999985694885,0.140000000596046,0.430000007152557,8.52000045776367,38.5499992370605,9.72000026702881,40.6199989318848,0,1,2.46000003814697,1,1540529,3,36,1954-05-29,1954,"36.1954-05-29",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.784078776836395,-0.0493651404976845,0,0.83344391733408,2.46197313297024,0.0248035565205935
"Australia",1,551210,0,63330,63320,35,35.4000015258789,72,1,0,0.389999985694885,NA,0.469999998807907,5.17000007629395,44.6300010681152,NA,50.0299987792969,0,0,2.73499989509583,NA,1551210,1,36,1955-12-10,1955,"36.1955-12-10",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,0.128645330667496,8.87798118591309,1,8.74933585524559,2.73232443373871,0.406177524562041
"Australia",1,551210,0,63620,63320,35,36.5999984741211,72,1,0.469999998807907,0.389999985694885,0.389999985694885,0.469999998807907,39.7299995422363,44.6300010681152,38.5499992370605,50.0299987792969,0,1,2.73499989509583,NA,1551210,2,36,1955-12-10,1955,"36.1955-12-10",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,0.681251883506775,8.87798118591309,0,8.19672930240631,2.73232443373871,0.406177524562041
"Australia",1,551210,0,63620,63330,35,72,72,1,0.469999998807907,0,0.389999985694885,NA,39.7299995422363,5.17000007629395,38.5499992370605,NA,0,1,2.73499989509583,NA,1551210,3,36,1955-12-10,1955,"36.1955-12-10",6362063330,"LPA Liberal Party of Australia",60,"DLP Democratic Labor Party",30,0,0.681251883506775,0.128645330667496,0,0.552606552839279,2.73232443373871,0.406177524562041
"Australia",1,551210,0,63810,63320,35,97.8000030517578,72,1,0.150000005960464,0.389999985694885,0.140000000596046,0.469999998807907,7.90000009536743,44.6300010681152,8.52000045776367,50.0299987792969,0,1,2.73499989509583,NA,1551210,4,36,1955-12-10,1955,"36.1955-12-10",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.650734305381775,8.87798118591309,0,8.22724688053131,2.73232443373871,0.406177524562041
"Australia",1,551210,0,63810,63330,35,62.4000015258789,72,1,0.150000005960464,0,0.140000000596046,NA,7.90000009536743,5.17000007629395,8.52000045776367,NA,0,1,2.73499989509583,NA,1551210,5,36,1955-12-10,1955,"36.1955-12-10",6381063330,"CP Country Party",80,"DLP Democratic Labor Party",30,0,0.650734305381775,0.128645330667496,0,0.522088974714279,2.73232443373871,0.406177524562041
"Australia",1,551210,1,63810,63620,35,25.7999992370605,72,1,0.150000005960464,0.469999998807907,0.140000000596046,0.389999985694885,7.90000009536743,39.7299995422363,8.52000045776367,38.5499992370605,1,1,2.73499989509583,1,1551210,6,36,1955-12-10,1955,"36.1955-12-10",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.650734305381775,0.681251883506775,1,0.030517578125,2.73232443373871,0.406177524562041
"Australia",1,581122,0,63330,63320,35,1.10000002384186,34.5999984741211,1,0,0.370000004768372,0,0.389999985694885,7.80000019073486,42.810001373291,5.17000007629395,44.6300010681152,0,0,2.97000002861023,NA,1581122,1,36,1958-11-22,1958,"36.1958-11-22",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,0.183459877967834,3.28206276893616,1,3.09860289096832,2.969997150855,0.119241956877494
"Australia",1,581122,0,63620,63320,35,33.5,34.5999984741211,1,0.479999989271164,0.370000004768372,0.469999998807907,0.389999985694885,37.2299995422363,42.810001373291,39.7299995422363,44.6300010681152,0,1,2.97000002861023,NA,1581122,2,36,1958-11-22,1958,"36.1958-11-22",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,1.20102882385254,3.28206276893616,0,2.08103394508362,2.969997150855,0.119241956877494
"Australia",1,581122,0,63620,63330,35,34.5999984741211,34.5999984741211,1,0.479999989271164,0,0.469999998807907,0,37.2299995422363,7.80000019073486,39.7299995422363,5.17000007629395,0,1,2.97000002861023,NA,1581122,3,36,1958-11-22,1958,"36.1958-11-22",6362063330,"LPA Liberal Party of Australia",60,"DLP Democratic Labor Party",30,0,1.20102882385254,0.183459877967834,0,1.0175689458847,2.969997150855,0.119241956877494
"Australia",1,581122,0,63810,63320,35,47.0999984741211,34.5999984741211,1,0.159999996423721,0.370000004768372,0.150000005960464,0.389999985694885,9.31999969482422,42.810001373291,7.90000009536743,44.6300010681152,1,1,2.97000002861023,NA,1581122,4,36,1958-11-22,1958,"36.1958-11-22",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.448927372694016,3.28206276893616,1,2.83313539624214,2.969997150855,0.119241956877494
"Australia",1,581122,0,63810,63330,35,13.6000003814697,34.5999984741211,1,0.159999996423721,0,0.150000005960464,0,9.31999969482422,7.80000019073486,7.90000009536743,5.17000007629395,0,1,2.97000002861023,NA,1581122,5,36,1958-11-22,1958,"36.1958-11-22",6381063330,"CP Country Party",80,"DLP Democratic Labor Party",30,0,0.448927372694016,0.183459877967834,0,0.265467494726181,2.969997150855,0.119241956877494
"Australia",1,581122,1,63810,63620,35,48.2000007629395,34.5999984741211,1,0.159999996423721,0.479999989271164,0.150000005960464,0.469999998807907,9.31999969482422,37.2299995422363,7.90000009536743,39.7299995422363,0,1,2.97000002861023,1,1581122,6,36,1958-11-22,1958,"36.1958-11-22",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.448927372694016,1.20102882385254,0,0.752101451158524,2.969997150855,0.119241956877494
"Australia",1,611209,0,63330,63320,35,23.8999996185303,31.8999996185303,1,0,0.490000009536743,0,0.370000004768372,7.6100001335144,47.9000015258789,7.80000019073486,42.810001373291,0,0,2.80999994277954,NA,1611209,1,36,1961-12-09,1961,"36.1961-12-09",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,0.368457794189453,-0.370183289051056,1,0.738641083240509,2.81469906579918,0.0345768552445524
"Australia",1,611209,0,63620,63320,35,8,31.8999996185303,1,0.370000004768372,0.490000009536743,0.479999989271164,0.370000004768372,33.5800018310547,47.9000015258789,37.2299995422363,42.810001373291,0,1,2.80999994277954,NA,1611209,2,36,1961-12-09,1961,"36.1961-12-09",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,0.179618269205093,-0.370183289051056,0,0.549801558256149,2.81469906579918,0.0345768552445524
"Australia",1,611209,0,63620,63330,35,31.8999996185303,31.8999996185303,1,0.370000004768372,0,0.479999989271164,0,33.5800018310547,7.6100001335144,37.2299995422363,7.80000019073486,0,1,2.80999994277954,NA,1611209,3,36,1961-12-09,1961,"36.1961-12-09",6362063330,"LPA Liberal Party of Australia",60,"DLP Democratic Labor Party",30,0,0.179618269205093,0.368457794189453,0,0.18883952498436,2.81469906579918,0.0345768552445524
"Australia",1,611209,0,63810,63320,35,33.2000007629395,31.8999996185303,1,0.140000000596046,0.490000009536743,0.159999996423721,0.370000004768372,8.51000022888184,47.9000015258789,9.31999969482422,42.810001373291,0,1,2.80999994277954,NA,1611209,4,36,1961-12-09,1961,"36.1961-12-09",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.632103562355042,-0.370183289051056,0,1.0022868514061,2.81469906579918,0.0345768552445524
"Australia",1,611209,0,63810,63330,35,41.2000007629395,31.8999996185303,1,0.140000000596046,0,0.159999996423721,0,8.51000022888184,7.6100001335144,9.31999969482422,7.80000019073486,1,1,2.80999994277954,NA,1611209,5,36,1961-12-09,1961,"36.1961-12-09",6381063330,"CP Country Party",80,"DLP Democratic Labor Party",30,0,0.632103562355042,0.368457794189453,1,0.263645768165588,2.81469906579918,0.0345768552445524
"Australia",1,611209,1,63810,63620,35,9.30000019073486,31.8999996185303,1,0.140000000596046,0.370000004768372,0.159999996423721,0.479999989271164,8.51000022888184,33.5800018310547,9.31999969482422,37.2299995422363,0,1,2.80999994277954,1,1611209,6,36,1961-12-09,1961,"36.1961-12-09",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.632103562355042,0.179618269205093,0,0.452485293149948,2.81469906579918,0.0345768552445524
"Australia",1,631130,0,63330,63320,35,31.5,13.6999998092651,1,0,0.409999996423721,0,0.490000009536743,7.44000005722046,45.4700012207031,7.6100001335144,47.9000015258789,0,0,2.78999996185303,NA,1631130,1,36,1963-11-30,1963,"36.1963-11-30",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,0.360331952571869,-0.346528589725494,1,0.706860542297363,2.79437952887029,0.0220734010749351
"Australia",1,631130,0,63620,63320,35,13.6999998092651,13.6999998092651,1,0.430000007152557,0.409999996423721,0.370000004768372,0.490000009536743,37.0900001525879,45.4700012207031,33.5800018310547,47.9000015258789,0,1,2.78999996185303,NA,1631130,2,36,1963-11-30,1963,"36.1963-11-30",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,-0.313245177268982,-0.346528589725494,0,0.0332834124565125,2.79437952887029,0.0220734010749351
"Australia",1,631130,0,63620,63330,35,17.7999992370605,13.6999998092651,1,0.430000007152557,0,0.370000004768372,0,37.0900001525879,7.44000005722046,33.5800018310547,7.6100001335144,0,1,2.78999996185303,NA,1631130,3,36,1963-11-30,1963,"36.1963-11-30",6362063330,"LPA Liberal Party of Australia",60,"DLP Democratic Labor Party",30,0,-0.313245177268982,0.360331952571869,0,0.673577129840851,2.79437952887029,0.0220734010749351
